 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
PRPL,"Purple Innovation, Inc.",575692000,210582000,-89689000,Home Furnishings
CORZQ,"Core Scientific, Inc.",640313000,8400000.00000001,-2146318000.0000005,Information Technology Services
WLMSQ,Williams Industrial Services Group Inc.,238119000,6818000,-13695000,Engineering & Construction
PDGO,"Paradigm Oil and Gas, Inc.",,,,Oil & Gas Production
TNBI,Tanke Biosciences Corp.,0,0,-98150,Financial Conglomerates
SPRV,"Supurva Healthcare Group, Inc.",0,0,-197919,Oil & Gas Production
ICTY,"EyeCity.com, Inc.",0,0,-192118,Medical Specialties
NSAV,"Net Savings Link, Inc.",0,0,-9177101.00001473,Miscellaneous Commercial Services
SBDG,"Small Business Development Group, Inc.",1741273,916820,-454852,Financial Conglomerates
IMTH,Innovative MedTech Inc. ,1724843,1668114,-3647947,Medical/Nursing Services
VIVC,Vivic Corp.,106322,-111864,-944396,Recreational Products
MBI,MBIA Inc.,150000000,,-195000000,Specialty Insurance
JKSM,Jacksam Corporation,4128456,-130568,-1521478,Advertising/Marketing Services
TMPO,"Tempo Automation Holdings, Inc.",12049000,1313000,-144851000,Electronic Components
ECGI,ECGI Holdings Inc.,0,0,-1523473,Financial Conglomerates
DLYT,Dais Corporation,1127058,149540,-4451563,Industrial Machinery
CBTC,XTRA Bitcoin Inc.,-1383.21,-3415.8,-241504.55,Miscellaneous Commercial Services
SLDB,Solid Biosciences Inc.,8094000,5686000,-85981000,Biotechnology
MNIZ,GEN 2 TECHNOLOGIES INC.,0,0,227040,Miscellaneous Manufacturing
IHAI,"Innovative Holdings Alliance,Inc.",0,-7812,-169825,Home Furnishings
AQB,"AquaBounty Technologies, Inc.",3136954,-12518740,-22157195,Biotechnology
CGAC,Code Green Apparel Corp.,,,,Apparel/Footwear
GEGP,"Gold Entertainment Group, Inc.",,,,Internet Software/Services
IMHC,Imperalis Holding Corp.,5522000,2018000,-4220000,Electrical Products
IPSC,"Century Therapeutics, Inc.",5199000,-4872000,-130931999.99999999,Biotechnology
LBSR,Liberty Star Uranium & Metals Corp.,0,-5834,565595,Other Metals/Minerals
ERNA,Eterna Therapeutics Inc.,0,-497000,-24579000,Pharmaceuticals: Major
RAFA,"Rafarma Pharmaceuticals, Inc. (WY)",64313999.99999999,22814000,4961000,Pharmaceuticals: Major
SNNC,"Sibannac, Inc.",6415,3915,-592957,Pharmaceuticals: Other
TSVT,"2seventy bio, Inc.",91496000,53744000,-254153000,Pharmaceuticals: Major
MIGI,Mawson Infrastructure Group Inc.,84385407,-26529666,-52762308,Internet Software/Services
BTCS,BTCS Inc.,1692454,1261975,-15892738,Regional Banks
GTHX,"G1 Therapeutics, Inc.",51301000,47553000,-147559000,Pharmaceuticals: Major
LQWC,LifeQuest World Corp.,149806,-24936,-379714,Pharmaceuticals: Other
ADHC,American Diversified Holdings Corp.,0,0,-756800,Miscellaneous Commercial Services
LRGR,"Luminar Media Group, Inc.",42990,,-273237,Movies/Entertainment
CLSK,"CleanSpark, Inc.",168408000,-91614000,-136589000,Data Processing Services
ABCP,AmBase Corp.,0,0,-3473000,Real Estate Development
BYSD,Bayside Corp.,0,0,-1249013,Packaged Software
MESA,"Mesa Air Group, Inc.",531001000,33536000,-182678000,Airlines
IFUS,Impact Fusion International Inc.,498,467,-119658,Pharmaceuticals: Other
PRTT,Protect Pharmaceutical Corp,93122000,48071000,24343000,Airlines
VYST,Vystar Corp.,116533,-1623336,-3958352,Chemicals: Specialty
ARTH,"Arch Therapeutics, Inc.",15652,-35837,-5275854,Medical Distributors
SBNY,"Signature Bank (New York, NY)",3706759000,,1336148000,Regional Banks
CERE,"Cerevel Therapeutics Holdings, Inc.",0,-4903000,-351511000,Pharmaceuticals: Major
RANI,"Rani Therapeutics Holdings, Inc.",0,-1312000,-30588000,Biotechnology
LICH,LIVECHAIN INC.,0,0,-26037,Miscellaneous Commercial Services
WULF,TeraWulf Inc.,15033000,-2717000,-90791000,Data Processing Services
FBIO,"Fortress Biotech, Inc.",75743000,41859000,-86575000,Pharmaceuticals: Major
RUBY,"Rubius Therapeutics, Inc.",0,-6254000,-179666000,Biotechnology
ALXO,ALX Oncology Holdings Inc.,0,-1466000,-123482000,Miscellaneous Commercial Services
ARVN,"Arvinas, Inc.",131400000,123200000,-282500000,Biotechnology
CPTN,"Cepton, Inc.",7426000,194000,9380000,Semiconductors
QREE,"Quantum Energy, Inc.",,,,Oil Refining/Marketing
DRIO,DarioHealth Corp.,27656000,9655000,-59957000,Medical Specialties
HOV,"Hovnanian Enterprises, Inc.",2756016000,580137000,205891000,Homebuilding
STTX,"Stratex Oil & Gas Holdings, Inc.",,,,Oil & Gas Production
GBIO,Generation Bio Co.,0,-5130000,-136639000,Pharmaceuticals: Major
RLYB,Rallybio Corporation,0,-167000,-66654000,Miscellaneous Commercial Services
VKTX,"Viking Therapeutics, Inc.",0,-291000,-68867000,Pharmaceuticals: Major
NDRA,ENDRA Life Sciences Inc.,0,-234258,-13179092,Medical Specialties
PTN,"Palatin Technologies, Inc.",4853678,3775538,-27541887,Pharmaceuticals: Major
SYRS,"Syros Pharmaceuticals, Inc.",14880000,11913000,-94654000,Biotechnology
MNLX,MINILUXE HOLDING CORP,,,,Financial Conglomerates
EGDD,"Eastern Goldfields, Inc.",,,,Precious Metals
USLG,"US Lighting Group, Inc.",1083114,-300128,-2112320,Semiconductors
GPLS,"Geopulse Exploration, Inc.",43960,38960,-59945,Miscellaneous Commercial Services
EXPL,ENDURANCE EXPLORATION GROUP INC,,,,Financial Conglomerates
TONR,"Tonner-One World Holdings, Inc",,,,Recreational Products
DRNK,"NoHo, Inc.",78803,-4205,236402,Food Distributors
PPJE,"PPJ Healthcare Enterprises, Inc.",790556,300893,141150,Services to the Health Industry
SCRH,SCORES HOLDING COMPANY INC,,,,Miscellaneous Commercial Services
BASA,Basanite Inc.,1356165,-1103634,-7971800,Movies/Entertainment
TERN,"Terns Pharmaceuticals, Inc.",0,-1032000,-60345000,Biotechnology
CGTX,"Cognition Therapeutics, Inc.",0,-235000,-21397000,Biotechnology
AAOI,"Applied Optoelectronics, Inc.",222818000,33027000,-66397000.00000001,Semiconductors
YELLQ,Yellow Corporation,5244700000,159800000,21800000,Trucking
NEXI,"NexImmune, Inc.",0,-1495345,-62506199,Pharmaceuticals: Major
CYCA,Cytta Corp.,6089.00000003,-41527.00000023,-5100102.00002762,Packaged Software
SNBR,Sleep Number Corporation,2114297000,1202296000,36610000,Home Furnishings
BZWR,Business Warrior Corporation,3710370,-12758,-7591250,Packaged Software
APLT,"Applied Therapeutics, Inc.",0,-441000,-82508000,Pharmaceuticals: Major
OCUL,"Ocular Therapeutix, Inc.",51494000,46954000,-71038000,Pharmaceuticals: Major
TKNO,"Alpha Teknova, Inc.",41420000,16328000,-47468000,Pharmaceuticals: Major
BODY,"The Beachbody Company, Inc.",692199000,327994000,-194192000,Other Consumer Services
POSC,Positron Corp.,,,,Medical Specialties
SRRK,Scholar Rock Holding Corporation,33193000,23308000,-134502000,Biotechnology
ESTC,Elastic N.V.,1068989000,767476000,-236161000,Packaged Software
VMSI,"Vita Mobile Systems, Inc.",0,0,-54576,Packaged Software
ARC,ARCPOINT INC,,,,Medical/Nursing Services
AMFL,"American Films, Inc.",,,,Miscellaneous
RGS,Regis Corporation,233326000,57759000,-11947000,Other Consumer Services
UPXI,"Upexi, Inc.",80676509,28099798,-16930289,Pharmaceuticals: Other
SPOI,"SPO Networks, Inc.",,,,Environmental Services
PEPG,PepGen Inc.,0,-493000,-69104000,Biotechnology
HITC,Healthcare Integrated Technologies Inc.,0,-16885,-1302458,Packaged Software
VASO,Vaso Corporation,80017000,48481000,11873000,Information Technology Services
APLD,Applied Digital Corporation,55392000,11004000,-44646000,Data Processing Services
MARA,"Marathon Digital Holdings, Inc.",117753000,-33673000,-686740000,Data Processing Services
ALLK,Allakos Inc.,0,-9975000,-319952000,Pharmaceuticals: Major
GLUE,"Monte Rosa Therapeutics, Inc.",0,-8559000,-108501000,Biotechnology
SPIR,"Spire Global, Inc.",80268000,39941000,-89411000,Packaged Software
AIRG,"Airgain, Inc.",75895000,28872000,-8659000,Semiconductors
AUUD,Auddia Inc.,0,-1172329,-6897446,Packaged Software
PKBO,"Peak Bio, Inc.",607681,-178803,-13088717,Pharmaceuticals: Major
ATHX,"Athersys, Inc.",5325000,4405000,-72534000,Biotechnology
SNWV,"SANUWAVE Health, Inc.",16742000,11645000,-10293000,Medical Specialties
CCSI,"Consensus Cloud Solutions, Inc.",362422000,300471000,72571000,Packaged Software
NAVB,"Navidea Biopharmaceuticals, Inc.",65652,-323029,-15177153,Medical Specialties
EEIQ,EpicQuest Education Group International Limited,6330428,4081146,-6071229,Miscellaneous Commercial Services
NRIX,"Nurix Therapeutics, Inc.",38627000,27819000,-180360000,Pharmaceuticals: Major
PRCH,"Porch Group, Inc.",275948000,168371000,-156559000,Internet Software/Services
SHFS,"SHF Holdings, Inc.",9478819,9289545,-35128083,Regional Banks
MNPR,Monopar Therapeutics Inc.,0,0,-10515638,Biotechnology
CNFR,"Conifer Holdings, Inc.",110230000,,-10681000,Property/Casualty Insurance
UPST,"Upstart Holdings, Inc.",842444000,828931000,-108665000,Internet Software/Services
DBGI,"Digital Brands Group, Inc.",13971178,3713894,-38043362,Apparel/Footwear
ABSI,Absci Corporation,5747000,-7290000,-104904000,Miscellaneous Commercial Services
BTBT,"Bit Digital, Inc.",32296593,-15907770,-105296603,Miscellaneous Commercial Services
TVTX,"Travere Therapeutics, Inc.",212018000,171347000,-278482000,Pharmaceuticals: Major
ITNS,"ITonis, Inc.",,,,Pharmaceuticals: Major
RILY,"B. Riley Financial, Inc.",934030000,606464000,-159829000,Investment Banks/Brokers
WELX,Winland Holdings Corporation,4846000,1708000,-998000,Electronic Equipment/Instruments
MKGP,"Maverick Energy Group, Ltd.",0,-100000,-846817,Integrated Oil
CLSH,"CLS Holdings USA, Inc.",23133607,8851874,-13799629,Chemicals: Major Diversified
OGEN,Oragenics Inc.,0,-44667,-14288389,Pharmaceuticals: Major
GCT,GigaCloud Technology Inc,490071000.00061,82698000.0001035,23031000.0000287,Wholesale Distributors
MMMW,"Mass Megawatts Wind Power, Inc.",0,0,-347174,Electric Utilities
OWVI,"One World Ventures, Inc.",62340,,-1154336,Financial Conglomerates
NOTV,"Inotiv, Inc.",547656000,126324000,-337018000,Miscellaneous Commercial Services
ATHA,"Athira Pharma, Inc.",0,-1048000,-95639000,Biotechnology
STRO,"Sutro Biopharma, Inc.",67772000,59484000,-119204000,Pharmaceuticals: Major
UAHC,United American Healthcare Corp.,0,0,-188000,Medical Specialties
DERM,Journey Medical Corporation,73669000,42894000,-29628000,Pharmaceuticals: Major
JNVR,Janover Inc.,2150937,,-1261675,Finance/Rental/Leasing
CYDY,CytoDyn Inc.,0,-175000,-79824000,Pharmaceuticals: Major
MLRT,Metalert Inc,334606,-397556,-1503087,Telecommunications Equipment
XELB,"Xcel Brands, Inc",25781000,-6884000,-4018000,Apparel/Footwear
DFCO,Dalrada Financial Corp.,29738969,8352347,-20292519,Miscellaneous Commercial Services
ASTA,Astra Veda Corporation,685000,678000,-508686,Investment Managers
FACO,First Acceptance Corp.,302479000,,-17488000,Property/Casualty Insurance
ZIVO,"Zivo Bioscience, Inc.",0,-79637,-8745293,Biotechnology
GMGZ,Genuine Marketing Group Inc. ,,,,Advertising/Marketing Services
CUTR,"Cutera, Inc.",252399000,136629000,-82340000,Medical Specialties
TREE,"LendingTree, Inc.",984992000,881822000,-187952000,Finance/Rental/Leasing
MODD,"Modular Medical, Inc.",0,-355446,-13878936,Medical Specialties
PSGR,"Pershing Resources Company, Inc.",0,-2566,-896892,Precious Metals
SMFX,S A M TRADE ASIA PTE LTD,,,,Investment Banks/Brokers
STAB,"Statera Biopharma, Inc.",,,,Biotechnology
MIKP,"Mike The Pike Productions, Inc.",,,,Movies/Entertainment
VTXB,Vortex Brands Co.,41342,-47896,-122354,Oil & Gas Production
GSFI,Green Stream Holdings Inc.,4138,,-186650,Integrated Oil
VBHI,VERDE BIO HLDGS INC.,926099,347420,-1774179,Integrated Oil
ETEK,"Eco-Tek Group, Inc.",,,,Industrial Specialties
VPER,"Viper Networks, Inc.",20089,-4738,-126023,Semiconductors
ALST,"Allstar Health Brands, Inc.",,,,Pharmaceuticals: Major
VAYK,Vaycaychella Inc.,0,-20030,-262431,Finance/Rental/Leasing
SAPX,"Seven Arts Entertainment, Inc.",,,,Wholesale Distributors
EXMT,Anything Technologies Media Inc.,15689,8759,-264543,Electronic Equipment/Instruments
FCGD,First Colombia Gold Corp.,0,0,-108958.86,Precious Metals
IDGC,IDGlobal Corp.,165048,78348,-596320,Investment Managers
HLLK,"Hallmark Venture Group, Inc.",0,0,-288546,Trucks/Construction/Farm Machinery
HOOD,"Robinhood Markets, Inc.",1382000000,1167000000,-1028000000,Investment Banks/Brokers
NXGB,NxGen Brands Inc.,15133,,-48533,Alternative Power Generation
ARAT,Arax Holdings Corp.,0,0,-148613.00000005,Miscellaneous Commercial Services
APPS,"Digital Turbine, Inc.",665920000,245430000,16673000,Packaged Software
FHTX,Foghorn Therapeutics Inc.,19228000,11327000,-108882000,Biotechnology
CUBT,CURATIVE BIOTECHNOLOGY INC.,0,-7956,-5604893,Electronics Distributors
BTM,Bitcoin Depot Inc.,0,0,-1727335,Investment Banks/Brokers
NMTC,NeuroOne Medical Technologies Corporation,2120041,1878078,-9999613,Medical Specialties
IKT,"Inhibikase Therapeutics, Inc.",123440,116717,-18054155,Pharmaceuticals: Major
FFNT,4FRONT VENTURES CORP.,113878661.28079014,36458804.13741808,-45039775.47708663,Agricultural Commodities/Milling
IVDN,"Innovative Designs, Inc.",258734,111822,-225489,Miscellaneous Manufacturing
GPGC,Global Pole Trusion Group Corp.,0,0,-71669.00000012,Electrical Products
CBST,THE CANNABIST COMPANY HOLDINGS INC.,491307907.778946,136125801.86091468,-399521766.3300232,Pharmaceuticals: Other
SEEL,"Seelos Therapeutics, Inc.",0,-53000,-73534000,Biotechnology
GOSS,"Gossamer Bio, Inc.",0,-4429000,-229378000,Pharmaceuticals: Major
IKNA,"Ikena Oncology, Inc.",15618000,13584000,-68765000,Biotechnology
ORGO,Organogenesis Holdings Inc.,450893000,337491000,15532000,Medical Specialties
COYA,"Coya Therapeutics, Inc.",0,-27361,-12244776,Miscellaneous Commercial Services
KOD,Kodiak Sciences Inc,0,-11001000,-333823000,Biotechnology
NOTE,"FiscalNote Holdings, Inc.",113765000.00009897,70139000.000061,-218257000.00019,Internet Software/Services
AX,"Axos Financial, Inc.",1277626000,,307165000,Major Banks
HOFT,Hooker Furnishings Corporation,583102000,118534000,-4415000,Home Furnishings
RLBD,"Real Brands, Inc.",11133,-78450,-905944,Pharmaceuticals: Other
VTGN,"VistaGen Therapeutics, Inc.",-227300,-737100,-59247700,Biotechnology
DAVE,Dave Inc.,204838000,69460000,-128906000,Major Banks
CARA,"Cara Therapeutics, Inc.",41867000,34353000,-85474000,Biotechnology
CTCX,Carmell Corporation,0,0,204997,Biotechnology
SPI,"SPI Energy Co., Ltd.",177518000.000221,14485000.0000186,-33421000.0000416,Semiconductors
FBRX,"Forte Biosciences, Inc.",0,0,-13879000,Biotechnology
TZPC,ThermaFreeze Products Corp.,0,0,74411,Industrial Specialties
CVNA,Carvana Co.,13604000000,1001000000,-1587000000,Specialty Stores
FTFT,Future FinTech Group Inc.,23881006,5146743,-13627391,Finance/Rental/Leasing
MYO,Myomo Inc.,15555229,10253096,-10721022,Medical Distributors
TMMI,"TMM, Inc.",0,0,-377939,Information Technology Services
BDTX,"Black Diamond Therapeutics, Inc.",0,-3238000,-91169000,Biotechnology
EYEN,"Eyenovia, Inc.",0,-307430,-28011157,Pharmaceuticals: Major
QBTS,D-Wave Quantum Inc.,7173000,4250000,-51529000,Computer Processing Hardware
RCEL,"Avita Medical, Inc.",34421000.000115,28380000.0000948,-26665000.0000891,Medical Specialties
OBIO,"Orchestra BioMed Holdings, Inc.",0,0,-2735123,Medical Specialties
SST,"System1, Inc.",826652000,-99443000,-373458000,Packaged Software
GRTS,"Gritstone bio, Inc.",9269000,-6422000,-119687000,Biotechnology
PLBY,"PLBY Group, Inc.",266933000,137291000,-277704000,Other Consumer Services
KERN,Akerna Corp.,13645030,2610368,-79057610,Data Processing Services
NGCG,"New Generation Consumer Group, Inc.",0,0,-656650,Food: Specialty/Candy
LLAP,Terran Orbital Corporation,94237000,-17257000,-163980000,Telecommunications Equipment
GANX,"Gain Therapeutics, Inc.",140108,75940,-17590738,Biotechnology
FPAY,"FlexShopper, Inc.",113056173,32346115,13491345,Finance/Rental/Leasing
EQBK,"Equity Bancshares, Inc.",220997000,,57688000,Regional Banks
GOGY,Golden Grail Technology Corp,32785,-2579,-909704,Beverages: Non-Alcoholic
KEQU,Kewaunee Scientific Corporation,219494000,36600000,738000,Medical Specialties
ONDS,Ondas Holdings Inc.,2125817,-3744326,-73241805,Telecommunications Equipment
JAN,JanOne Inc.,39611000,7390000,1564000,Environmental Services
SQFT,"Presidio Property Trust, Inc.",17764281,6457870,-4583631,Real Estate Investment Trusts
VIRC,Virco Manufacturing Corporation,231064000,85341000,16547000,Office Equipment/Supplies
BRFH,Barfresh Food Group Inc.,9162000,937000,-6219000,Beverages: Non-Alcoholic
BLND,"Blend Labs, Inc.",235201000,81240000,-768610000,Information Technology Services
EBIX,"Ebix, Inc.",1050146000,310100000,64644999.99999999,Packaged Software
LWLG,"Lightwave Logic, Inc.",0,-1045208,-17230480,Chemicals: Specialty
CHPT,"ChargePoint Holdings, Inc.",468094000,74287000,-345108000,Specialty Stores
MRNS,"Marinus Pharmaceuticals, Inc.",25478000,24469000,-19816000,Pharmaceuticals: Major
RXT,"Rackspace Technology, Inc.",3122300000,690100000,-804800000,Data Processing Services
RIOT,"Riot Platforms, Inc.",259171000,-42475000,-509553000,Information Technology Services
COMP,"Compass, Inc.",6018000000,614400000,-601500000,Packaged Software
IFBC,Italian Food & Beverage Corp,104852,7085,-383776,Food Distributors
CURV,Torrid Holdings Inc.,1288144000,459539000,50209000,Internet Retail
BVS,Bioventus Inc.,512116999.99999994,309927000,-158704000,Medical Specialties
SEQL,SeqLL Inc.,78659,-121952,-4094833,Pharmaceuticals: Major
STOK,"Stoke Therapeutics, Inc.",12405000,8870000,-101067000,Biotechnology
VALU,"Value Line, Inc.",39695000,19282000,18069000,Publishing: Books/Magazines
S,"SentinelOne, Inc.",422179000,278002000,-378678000,Packaged Software
IMUC,EOM Pharmaceutical Holdings Inc.,,,,Pharmaceuticals: Major
CVGW,"Calavo Growers, Inc.",1191073000,72845000.0000002,-6249000,Agricultural Commodities/Milling
CRVS,"Corvus Pharmaceuticals, Inc.",0,-367000,-41307000,Pharmaceuticals: Major
HYFM,"Hydrofarm Holdings Group, Inc.",344501000,3493999.99999999,-285415000,Trucks/Construction/Farm Machinery
LMNR,Limoneira Co,184605000,18322000,-286000,Agricultural Commodities/Milling
ADEX,Adit EdTech Acquisition Corp.,0,0,4832848,Financial Conglomerates
ACOR,"Acorda Therapeutics, Inc.",118566000,57470000,-65916000,Pharmaceuticals: Major
INLB,Item 9 Labs Corp.,21756997,-4574675,-31142604,Pharmaceuticals: Other
GYST,"The Graystone Company, Inc.",,,,Precious Metals
ALVR,"AlloVir, Inc.",0,-2565000,-168710000,Biotechnology
MMEN,MEDMEN ENTERPRISES INC. CLASS B SUBORDINATE VOTING SHARES,138415447.060676,44892451.90940612,-191865046.0284627,Specialty Stores
CBP,CERTIVE SOLUTIONS INC.,1249416.84171242,97080.61329072,-1642579.11391921,Packaged Software
CYBL,Cyberlux Corp.,27671415,16463864,377674,Electrical Products
QEDN,"QED Connect, Inc.",333995,162129,-1505520,Precious Metals
ZRFY,Zerify Inc.,103000,16000,-8808000,Packaged Software
PHIL,PHI Group Inc. (NV),25000,,-5609146,Investment Managers
AGIN,American Graphite Technologies Inc.,,,,Other Metals/Minerals
BLLB,"Bell Buckle Holdings, Inc.",,,,Movies/Entertainment
NHIQ,"NantHealth, Inc.",67001999.99999999,34221000,-67779000,Packaged Software
PPIH,"Perma-Pipe International Holdings, Inc.",142569000,38301000,5945000,Industrial Machinery
DISH,DISH Network Corporation,16679407000,4591259000,2303233000,Cable/Satellite TV
PSTV,"PLUS THERAPEUTICS, Inc.",224000,-488000,-20275000,Pharmaceuticals: Major
SDIG,"Stronghold Digital Mining, Inc.",106033102,-27012541,-89261230,Data Processing Services
BYND,"Beyond Meat, Inc.",418933000,-28343000,-366137000,Food: Major Diversified
PATH,"UiPath, Inc.",1058580999.9999998,877091000,-328352000,Packaged Software
SEZL,Sezzle Inc.,125570441,32729407.00000001,-38093756,Packaged Software
HPCO,"Hempacco Co., Inc.",3967340,239046,-7003834,Tobacco
NCL,Northann Corp.,,,,Packaged Software
SATS,EchoStar Corporation,1998093000,710180000,177051000,Specialty Telecommunications
PCT,"PureCycle Technologies, Inc.",0,-5209000,-84746000,Environmental Services
PTOI,"Plastic2Oil, Inc.",0,-29682,-2081988,Environmental Services
ASPN,"Aspen Aerogels, Inc.",180364000,4975999.99999999,-82738000,Industrial Specialties
SLNO,"Soleno Therapeutics, Inc.",0,-2210000,-24067000,Pharmaceuticals: Major
RCRT,"Recruiter.com Group, Inc.",25372274,5097378,-16474688,Personnel Services
KALA,"KALA BIO, Inc.",3892000,1332000,-44822000,Pharmaceuticals: Major
FDCT,"FDCTech, Inc.",6453732,1018940,-1103014,Information Technology Services
MRSN,"Mersana Therapeutics, Inc.",26581000,25654000,-204212000,Biotechnology
CAPR,"Capricor Therapeutics, Inc.",2551469,1856598,-29019532,Pharmaceuticals: Major
ACRV,"Acrivon Therapeutics, Inc.",0,-1095000,-31167000,Pharmaceuticals: Major
SMID,Smith-Midland Corporation,50131000,9469000,800000,Construction Materials
TZUP,Thumzup Media Corporation,2421,-178,-1504681,Packaged Software
NGLD,Nevada Canyon Gold Corp,0,0,-1556055,Miscellaneous Commercial Services
SSET,"Starstream Entertainment, Inc.",3119711,723014,193854,Commercial Printing/Forms
TRRE,"Terra Energy Resources, Ltd.",386393,382470,-961813,Real Estate Development
AUR,"Aurora Innovation, Inc.",68000000,18000000,-1723000000,Packaged Software
CKPT,"Checkpoint Therapeutics, Inc.",192000,,-62624000,Pharmaceuticals: Major
SMSI,"Smith Micro Software, Inc.",48513000,27991000,-29279000,Packaged Software
CUE,"Cue Biopharma, Inc.",1245227,-560828,-53010382,Biotechnology
XPON,Expion360 Inc.,7162837,2137092,-7536540,Electrical Products
NNBR,"NN, Inc.",498738000,30402000,-26098000,Metal Fabrication
ARMP,"Armata Pharmaceuticals, Inc.",5508000,4616000,-36917000,Biotechnology
CURA,"CURALEAF HOLDINGS, INC.",1283392546.390058,444830447.45625514,-355433724.7754445,Agricultural Commodities/Milling
AFFU,Affluence Corp.,1463099,1243225,-187417,Miscellaneous Commercial Services
BTCY,"Biotricity, Inc.",9639057,5442033,-18658143,Packaged Software
TGTX,"TG Therapeutics, Inc.",2785000,2005000,-198335000,Pharmaceuticals: Major
ETNB,"89bio, Inc.",0,-240000,-102026000,Pharmaceuticals: Major
NXEN,"Nexien BioPharma, Inc.",0,0,-361902,Pharmaceuticals: Major
TCRI,TECHCOM INC.,0,0,-108064,Financial Conglomerates
HBIO,"Harvard Bioscience, Inc.",113335000,56168000,-9516000,Medical Specialties
TELL,Tellurian Inc.,391926000,178020000,-49810000,Integrated Oil
VERU,Veru Inc.,16296958,7494928,-93088953,Pharmaceuticals: Major
GTLB,GitLab Inc.,424336000,372361000,-172311000,Packaged Software
SQZB,SQZ Biotechnologies Company,21478000,9794000,-79464000,Biotechnology
SMTC,Semtech Corporation,756533000,478956000,61380000,Semiconductors
AREN,"The Arena Group Holdings, Inc.",220935000,70362000,-70858000,Internet Software/Services
JBLU,JetBlue Airways Corporation,9158000000,111000000,-362000000,Airlines
